City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
macapa,40,BR,1624387219,55,0.0389,-51.0664,33.99,5.14
anadyr,0,RU,1624387221,76,64.75,177.4833,10.28,1.79
saint-jovite,100,CA,1624387097,67,46.1186,-74.5966,18.04,1.03
metro,96,ID,1624387223,90,-5.1131,105.3067,23.41,1.7
norman wells,90,CA,1624387224,58,65.282,-126.8329,11.02,8.75
raton,1,US,1624387226,39,36.9034,-104.4391,31.7,4.63
flinders,100,AU,1624387227,86,-34.5833,150.8552,15.21,0.45
camargo,26,MX,1624387228,26,27.6667,-105.1667,34.63,2.46
labuhan,63,ID,1624387229,89,-6.8844,112.2051,24.91,3.18
kansanshi,67,ZM,1624387231,51,-12.0951,26.4273,14.96,1.43
namatanai,16,PG,1624387232,82,-3.6667,152.4333,26.29,2.87
lompoc,1,US,1624387233,62,34.6391,-120.4579,24.5,1.54
kovdor,100,RU,1624387235,96,67.5662,30.4758,13.61,2.64
guerrero negro,75,MX,1624387236,62,27.9769,-114.0611,23.38,4.54
kindu,100,CD,1624387238,64,-2.95,25.95,21.05,1.06
magadan,100,RU,1624387239,89,59.5667,150.8,9.49,0.67
kholodnyy,100,RU,1624387240,87,62.7167,147.95,7.69,0.64
asfi,0,MA,1624387242,70,32.2994,-9.2372,19.78,9.73
neiafu,75,TO,1624387243,94,-18.65,-173.9833,17.38,0.0
djougou,93,BJ,1624387245,80,9.7085,1.666,25.06,2.04
cap malheureux,5,MU,1624387247,69,-19.9842,57.6142,21.27,6.42
mankono,100,CI,1624387248,92,8.0586,-6.1897,22.0,1.68
bershet,1,RU,1624387249,77,57.7309,56.3783,23.59,1.83
marondera,100,ZW,1624387251,49,-18.1853,31.5519,13.27,1.34
terra nova,82,BR,1624387252,57,-12.3667,-40.6667,28.32,4.88
namalenga,41,TZ,1624387253,79,-10.95,39.1,20.89,3.36
vila franca do campo,100,PT,1624387255,68,37.7167,-25.4333,20.23,1.92
lagoa,82,PT,1624387256,73,39.05,-27.9833,18.62,0.83
kanker,100,IN,1624387258,84,20.2719,81.4931,25.04,1.34
san patricio,53,US,1624387259,55,28.017,-97.5169,32.87,3.72
vilhena,40,BR,1624387260,48,-12.7406,-60.1458,30.12,2.57
lavrentiya,58,RU,1624387262,74,65.5833,-171.0,8.55,0.38
rio grande,100,BR,1624387243,83,-32.035,-52.0986,17.06,5.81
mao,20,ES,1624387264,69,39.8885,4.2658,24.31,3.09
tiksi,100,RU,1624387266,57,71.6872,128.8694,10.3,3.76
ostrovnoy,2,RU,1624387268,80,68.0531,39.5131,15.7,0.63
kapit,100,MY,1624387270,91,2.0167,112.9333,23.83,0.42
deputatskiy,100,RU,1624387271,53,69.3,139.9,13.03,2.38
jasper,1,US,1624387274,47,37.2001,-94.3502,26.67,4.12
sibolga,100,ID,1624387276,89,1.7427,98.7792,22.91,1.34
bereda,92,ES,1624387277,85,43.2686,-7.5406,15.23,1.97
